real,imag
-806.352,-345.101
663.768,386.296
-594.339,-271.57
407.349,219.847
-340.337,-28.9757
196.379,-67.3917
-199.906,261.502
136.95,-316.693
-214.53,430.006
204.342,-376.877
-304.795,371.884
286.025,-210.503
-351.735,126.333
282.605,70.6158
-295.489,-139.473
183.76,271.778
-173.675,-237.058
62.7223,244.526
-75.2351,-85.7618
1.34818,-7.33235
-54.4296,223.79
12.6432,-319.043
-79.1854,478.486
26.2423,-463.703
-56.6912,475.125
-51.7219,-295.832
85.7442,150.708
-254.553,153.731
331.828,-373.925
-516.407,692.321
576.519,-863.505
-711.584,1077.24
696.337,-1103.09
-741.307,1150.78
634.703,-1011.47
-600.211,914.755
436.331,-667.068
-372.295,506.786
206.58,-242.014
-163.198,106.254
31.6778,102.221
-25.5828,-162.482
-75.0413,289.19
62.9806,-272.618
-160.024,335.441
155.979,-272.104
-265.7,305.787
269.906,-228.593
-374.562,259.702
354.063,-186.806
-412.45,225.269
327.47,-160.156
-311.476,205.48
154.014,-145.914
-80.3838,195.481
-108.507,-138.677
180.127,188.774
-332.253,-128.887
337.599,170.575
-405.051,-95.508
322.365,114.773
-314.599,-11.1338
183.672,-1.38167
-163.967,135.406
59.9331,-171.307
-101.021,316.159
80.0767,-346.032
-210.374,466.076
267.036,-453.529
-447.438,517.92
515.679,-443.519
-665.125,448.356
663.695,-325.073
-715.724,298.272
605.209,-163.979
-554.677,146.213
365.045,-36.4903
-271.378,51.2898
-396.762,152.953
338.335,9.03953
-389.547,-50.8903
336.101,173.009
-393.968,-150.634
350.571,194.515
-422.887,-93.1924
397.954,71.2341
-490.61,71.1436
484.08,-102.185
-588.254,220.513
581.229,-199.615
-668.748,248.87
626.884,-156.005
-662.344,145.333
555.507,-17.2036
-520.454,3.62067
347.087,93.9889
-259.726,-49.5456
57.5,73.5233
28.7593,44.5493
-197.475,-77.9668
220.171,223.642
-302.371,-246.835
226.577,343.767
-211.59,-286.749
53.4666,285.663
17.281,-130.622
-196.601,50.0925
250.979,150.029
-378.83,-231.411
354.162,386.246
-386.738,-382.782
263.916,427.204
-208.722,-306.646
19.6817,247.609
72.6963,-55.2169
-266.995,-31.7067
334.522,203.658
-479.731,-226.154
482.582,301.9
-557.348,-214.169
493.313,185.643
-512.159,-18.0926
407.742,-52.1512
-403.157,216.92
290.78,-241.746
-290.111,328.038
188.872,-256.662
-201.952,247.144
113.436,-97.8562
-136.131,42.0627
53.7367,114.253
-80.0995,-137.478
0.802377,228.3
-31.6833,-165.281
-40.2591,164.347
-1.17053,-19.5054
-57.8944,-40.3888
3.16575,212.999
-50.9869,-266.841
-10.5262,402.629
-36.6498,-396.565
-18.9147,459.9
-39.808,-380.1
-0.94645,378.404
-72.6049,-249.468
43.2003,218.132
-121.614,-79.0932
88.7236,54.3878
-155.024,65.7646
102.798,-64.1733
-145.381,154.714
68.7786,-122.851
-90.1885,183.532
-1.14261,-122.083
-13.9751,152.831
-74.8223,-60.8434
49.5587,61.2449
-123.07,58.7145
80.4984,-80.4984
-137.704,212.841
82.0614,-233.535
-130.38,349.038
69.5317,-337.124
-114.571,406.93
49.897,-341.489
-88.1198,357.047
12.0167,-244.396
-34.0508,226.752
-61.3383,-99.7115
58.2947,88.1271
-167.774,14.3345
168.986,12.0091
-268.704,46.5878
243.779,21.3881
-301.278,5.07143
221.382,80.6803
-217.354,-56.1536
77.6934,130.164
-24.8646,-85.5067
-144.064,138.167
200.232,-78.3151
-343.642,127.755
346.748,-79.4539
-415.226,154.163
330.939,-139.958
-311.423,249.738
151.124,-262.36
-78.9409,382.125
-102.335,-381.883
159.843,464.049
-291.925,-404.45
271.861,413.1
-308.278,-276.836
187.377,218.109
-131.429,-35.2517
-61.0179,-41.0209
158.424,209.094
-357.348,-240.779
426.34,342.503
-566.867,-298.244
556.332,328.478
-607.561,-230.432
510.076,234.424
-487.799,-142.109
338.784,181.811
-291.85,-146.99
145.842,253.012
-126.437,-278.029
26.1557,422.681
-62.3499,-453.89
18.6084,566.903
-104.133,-530.376
96.3135,548.409
-200.886,-404.281
194.806,320.023
-286.213,-97.002
256.675,-27.7717
-320.216,243.855
264.475,-312.877
-308.678,431.239
243.943,-374.673
-290.712,358.725
238.903,-180.2
-305.597,74.1526
275.802,147.913
-360.997,-243.518
340.869,402.262
-422.804,-391.144
384.384,416.086
-433.336,-264.6
350.112,164.017
-347.524,79.2541
212.647,-224.46
-165.506,459.266
-0.10131,-545.282
58.9737,680.277
-214.541,-641.942
241.77,647.43
-347.303,-494
312.013,415.489
-350.359,-220.422
251.846,146.892
-239.125,-0.21113
108.224,8.52273
-85.6572,37.7763
-31.9558,72.0679
20.8852,-111.398
-90.2516,276.928
24.136,-333.108
-40.3189,474.184
-68.9651,-468.806
79.5577,521.287
-195.594,-414.52
192.541,368.94
-277.382,-182.896
231.087,89.2265
-267.787,106.23
175.998,-169.13
-176.517,298.241
62.5666,-269.117
-57.0117,294.089
-47.6752,-163.795
31.8479,104.822
-107.932,80.9205
61.797,-160.204
-110.877,329.99
44.5958,-361.414
-81.9022,460.422
11.5769,-410.153
-50.1452,429.545
-17.0409,-313.588
-23.1082,290.054
-46.5036,-158.433
13.4848,146.111
-93.5358,-47.6102
70.9496,81.8383
-156.868,-32.9744
130.837,109.648
-200.283,-87.6883
143.188,170.777
-168.318,-134.029
58.0997,184.689
-28.392,-104.982
-129.706,111.448
191.595,3.96594
-359.047,-16.3877
403.476,128.476
-526.858,-113.922
505.33,178.209
-549.621,-101.661
447.351,99.085
-421.582,38.7585
270.969,-87.2567
-226.286,248.085
89.0625,-292.512
-87.4208,422.138
15.007,-412.115
-88.0862,471.17
86.5051,-383.622
-213.229,367.944
237.721,-217.339
-357.419,157.098
342.204,15.6113
